MES,Q,QUSA,P,PCANAD,MXN_USD,VAR_NOM_MXN,PANDEMI,BARRIL_OPEP,PRECIO_GASOLINA_USA,VENTA_INTERNA_GASOLINA,CPIAUCSL,INPC,TIPO_CAMBIO_REAL,VAR_TIPO_CAMBIO,TIPO_CAMBIO_T1,TIPO_CAMBIO_USA,VAR_CAMBIO_REAL_USA,TIPO_CAMBIO_USA_T1,DIF_PRECIO_GAS_USA,CAMBIO_NOMINAL_USD,VAR_CAMBIO_NOM,VAR_PIB,IP_INDEX,TC_CORREGIDO,VAR_TC_COR,TC_C_MX,VAR_TC_MX,BRENT,WTI,TCT1,VAR_WTI,VAR_BRENT,INDEX_BRENT,INDEX_TC_REAL,INDEX_TC_RM,ANUNCIO
2020-02,586.8732759,804,47.96024474,31.43,19.611,0,1,41.47,2.442,30574.87427,259.246,106.889,0.28,0,0,3.572815588,0,0,0,0.05099179,0,-0.055,101.32,0.021,0,47.56404594,0,55.66,50.54,0,0,0,0,0,,0
2020-03,761.5213871,801,28.34099251,9.39,23.714,0.209219316,1,41.47,2.234,23639.68642,258.15,106.838,0.3,0.066661568,0.28,3.349530625,-0.062495519,3.572815588,-0.085176085,0.042169183,0.826979843,-0.055,97.45,0.017,-0.169905379,57.29954791,0.204681956,32.01,29.21,0.021024284,-0.422041947,-0.424901186,0.575098814,0.830094621,1.204681956,0
2020-04,588.9707333,631,12.34596471,13.35,24.151,0.018427933,1,41.47,1.841,12283.35734,256.126,105.755,0.2,-0.320946701,0.299,4.932647596,0.472638452,3.349530625,-0.175917637,0.041406153,0.981905511,-0.281,84.2,0.017,-0.020367199,58.49084229,0.020790642,18.38,16.55,0.017452145,-0.433413215,-0.425804436,0.574195564,0.979632801,1.020790642,0
2020-05,870.5136774,889,22.51484235,27.03,22.1675,-0.082129104,1,41.47,1.87,17390.53073,255.848,106.162,0.25,0.213760836,0.203,4.063937022,-0.176114461,4.932647596,0.015752309,0.045111086,1.089477839,-0.281,85.84,0.019,0.094859075,53.42316968,-0.086640445,29.38,28.56,0.017096693,0.725679758,0.598476605,1.598476605,1.094859075,0.913359555,0
2020-06,715.3274,849,34.49042909,27.36,22.9889,0.037054246,1,41.47,2.082,21911.64785,257.004,106.743,0.3,0.210513149,0.246,3.357201883,-0.173904058,4.063937022,0.113368984,0.043499254,0.964269713,-0.281,91.16,0.018,-0.034814069,55.35013308,0.036069807,40.27,38.31,0.01871847,0.341386555,0.370660313,1.370660313,0.965185931,1.036069807,0
2020-07,613.7282581,755,38.08842741,28.77,22.2714,-0.031210715,1,41.47,2.183,25131.72357,258.408,107.444,0.31,0.04743623,0.298,3.205161122,-0.045287941,3.357201883,0.048511047,0.044900635,1.032216206,0.352,94.89,0.019,0.033349814,53.56379073,-0.032273497,43.24,40.71,0.018066804,0.062646829,0.073752173,1.073752173,1.033349814,0.967726503,0
2020-08,730.7593871,769,40.21526454,30.86,21.8785,-0.017641459,1,41.47,2.182,24647.85081,259.366,107.867,0.34,0.094988072,0.312,2.927119668,-0.086748043,3.205161122,-0.000458085,0.045706973,1.01795827,0.352,95.89,0.019,0.018191155,52.60681238,-0.017866143,44.74,42.34,0.018669328,0.040039302,0.034690102,1.034690102,1.018191155,0.982133857,0
2020-09,539.6412,728,38.48718846,27.83,22.099,0.010078387,1,41.47,2.183,23683.34783,259.951,108.114,0.34,-0.00214835,0.342,2.933421684,0.002152975,2.927119668,0.000458295,0.045250916,0.990022173,0.352,95.6,0.019,-0.009943905,53.13518276,0.010043763,40.91,39.63,0.019008945,-0.064005668,-0.085605722,0.914394278,0.990056095,1.010043763,0
2020-10,477.2411935,574,37.07716387,25.22,21.171,-0.04199285,1,41.47,2.158,24346.3057,260.249,108.774,0.33,-0.023999346,0.341,3.00555299,0.024589477,2.933421684,-0.01145213,0.047234424,1.043833546,0.044,96.65,0.02,0.049003254,50.65301983,-0.046714113,40.19,39.4,0.018819922,-0.005803684,-0.017599609,0.982400391,1.049003254,0.953285887,0
2020-11,623.5222333,611,39.26567846,33,20.166,-0.047470597,1,41.47,2.108,21407.99203,260.895,108.856,0.26,-0.226389012,0.333,3.885096045,0.292639344,3.00555299,-0.023169601,0.049588416,1.049836358,0.044,97.16,0.021,0.04802634,48.33181974,-0.045825502,42.69,40.94,0.019742159,0.039086294,0.062204528,1.062204528,1.04802634,0.954174498,0
2020-12,643.379129,740,44.9744457,33.2,19.871,-0.014628583,1,41.47,2.195,25849.18745,262.005,109.271,0.24,-0.071840835,0.257,4.185807985,0.077401417,3.885096045,0.041271347,0.050324594,1.014845755,0.044,98.29,0.021,0.014398893,47.64577386,-0.014194497,49.99,47.02,0.020690303,0.148510015,0.171000234,1.171000234,1.014398893,0.985805503,0
2021-01,566.4861613,747,50.43390051,39.15,20.5855,0.035956922,1,69.89,2.334,23993.36113,262.518,110.21,0.28,0.161943196,0.239,3.602420496,-0.139372731,4.185807985,0.06332574,0.048577882,0.965291103,0.056,99.41,0.02,-0.0283164,49.03424634,0.029141566,54.77,52,0.02098822,0.105912378,0.095619124,1.095619124,0.9716836,1.029141566,0
2021-02,583.3120714,613,56.38827932,50.06,20.848,0.012751694,1,69.89,2.501,24622.38834,263.583,110.907,0.3,0.071344764,0.278,3.362522146,-0.066593656,3.602420496,0.071550985,0.047966232,0.987408864,0.056,96.4,0.02,-0.010361291,49.54762444,0.010469787,62.28,59.04,0.02039391,0.135384615,0.137118861,1.137118861,0.989638709,1.010469787,0
2021-03,478.8200645,568,59.4429476,48.92,20.422,-0.020433615,1,69.89,2.81,35601.8394,264.91,111.824,0.36,0.210547829,0.297,2.777686322,-0.173927724,3.362522146,0.12355058,0.048966801,1.020859857,0.056,99.2,0.021,0.024144502,48.37952515,-0.023575284,65.41,62.33,0.020182602,0.055724932,0.050256904,1.050256904,1.024144502,0.976424716,0
2021-04,561.3262333,708,59.313602,51.92,20.226,-0.009597493,1,69.89,2.858,31459.65873,266.752,112.19,0.46,0.280528056,0.36,2.169172561,-0.219072167,2.777686322,0.017081851,0.049441313,1.009690497,0.064,99.2,0.021,0.006000175,48.09097025,-0.005964401,64.81,61.72,0.020669901,-0.00978662,-0.009172909,0.990827091,1.006000175,0.994035599,0
2021-05,584.401871,728,62.22527711,51.71,19.9461,-0.013838624,1,69.89,2.985,33886.03727,268.452,112.419,0.44,-0.05070598,0.461,2.285037633,0.05341441,2.169172561,0.044436669,0.050135114,1.014032818,0.064,99.9,0.021,0.009668068,47.63047561,-0.009575491,68.53,65.17,0.020793924,0.055897602,0.05739855,1.05739855,1.009668068,0.990424509,0
2021-06,694.1743,788,67.30385628,58.62,19.931,-0.00075704,1,69.89,3.064,34290.80374,270.664,113.018,0.43,-0.010605991,0.438,2.309532513,0.010719683,2.285037633,0.026465662,0.050173097,1.000757614,0.064,100.4,0.021,-0.002132334,47.73225667,0.002136889,73.16,71.38,0.020994961,0.095289244,0.067561652,1.067561652,0.997867666,1.002136889,0
2021-07,710.213129,851,68.54549283,58.74,19.855,-0.003813155,1,69.89,3.136,36493.17715,271.994,113.682,0.42,-0.020485701,0.433,2.357834403,0.020914142,2.309532513,0.023498695,0.050365147,1.003827751,0.035,101.2,0.021,0.004788038,47.50480173,-0.004765225,75.17,72.49,0.020950193,0.015550574,0.02747403,1.02747403,1.004788038,0.995234775,0
2021-08,551.0255806,715,63.7991988,56.23,20.063,0.010475951,1,69.89,3.158,34547.78221,272.789,113.899,0.41,-0.030619839,0.424,2.432311386,0.031587029,2.357834403,0.007015306,0.049842995,0.989632657,0.035,101.1,0.021,-0.011367916,48.05104265,0.011498647,70.75,67.73,0.021050503,-0.06566423,-0.058800053,0.941199947,0.988632084,1.011498647,0
2021-09,651.0893,814,66.89883794,62.91,20.63,0.028260978,1,69.89,3.175,33372.96207,273.887,114.601,0.45,0.099254449,0.411,2.212691873,-0.090292515,2.432311386,0.005383154,0.048473097,0.972515754,0.035,99.8,0.02,-0.025413102,49.30400965,0.02607575,74.49,71.65,0.020811203,0.057876864,0.052862191,1.052862191,0.974586898,1.02607575,0
